0,1.4,0
0.05,1.6,200|200
0,1,204
0,1,204
0,1.9,0
0,1.4,204|204
0,2.2,0
0,2.2,0
0,1.4,204|204
0,1.4,0
0,1.4,204
0,1.4,204|204
0,1.4,0
0,1.9,204
0,2.2,0
0,1.9,0
0,1.4,0|0
0,1,204
0,1.4,0
0,1.4,0
0.46,1.6,200|200
0,1.4,204
0,1.4,204
0,1.4,204
0,1.9,0
0,2.2,204
0,1.4,0|0
0,1.4,0|0
0.01,1.4,200
0,1.4,0
0,1.6,0|0
0,1.4,0|0
0.24,1.4,200
0,1.4,204
0,1.4,204
0,1.6,204|204
0,1.4,204
0,1,0
0,1.4,0
0,2.2,0
0,1,0
0,1.6,0|0
0.27;0.15,1.9,200
0,1.4,204|204
0,1.4,204
0,1.4,204
0,1.4,0
0.03;0.02,1.4,200
0.35,1,200
0.24;0.07,1.9,200
0,1.4,0|0
0,1.4,0
0,1.4,0
0.24;0.15;0.04;0.04;0.02,1.4,200|200
0,1.6,204|204
0,1,204
0,2.2,0
0,1.4,204
0.59,1,200
0,1.4,204
0,1.4,204|204
0,2.2,204
0,1.4,204
0,1.6,0|0
0,1.9,204
0.2,1.4,200
0.44,1.4,200|200
0,1.4,204
0,2.2,204
0.12,1.6,204|200
0,1.9,204
0,1.4,204
0,1.4,0
0.15;0.11,2.2,200
0,1.4,0|0
0,1,204
0,1.4,204
0.01,1.4,200
0,1.4,0|0
0,2.2,204
0.11,1.4,200|200
0.01,1.6,200|200
0,2.2,0
0,1.4,204|204
0,2.2,204
0,1.6,0|0
0,1.4,0
0,1.4,204
0,1.4,204
0.11;0.04,1.4,200
0,1.4,204|204
0,1.4,204
0,1.4,204
0,1.4,0
0,1.4,0|0
0.08,1.4,200
0.92;0.88,1,200
0.58;0.06,1.9,200
0,2.2,204
0.15,1.4,200
0,1.4,0|0
0,1,204
0,1.4,0
0,1.4,0
0.04,2.2,200
0,1,204
1.87,1.6,200
0,1.4,204
0,1.4,0
0.09,1.6,200|200
0,2.2,0
0,1.4,204
0,1.6,204|204
0,1.4,0|0
0,1,0
0.06,1.4,200
0,2.2,0
0,1.9,204
0.18,1.4,200
0.05;0.04,2.2,200
0,1.4,204
0,1.6,0|0
0.2,1.9,200
0,1,204
0,1.4,204|204
0.28,1.9,200
0,1.9,204
0.07,1.4,200
0,1.4,204
0,1.6,0|0
0,2.2,204
0,2.2,0
0.07,1,200
0,1.4,204
0,2.2,204
0,1.4,0
0,1.6,0|0
0,1.9,0
0.08,2.2,200
0,1.6,204|204
0,1.4,204
0,1.4,0
0,1.4,0
1.26,1.4,200
0,1.4,200|204
0,1.4,0
0.08;0.01,1,200
0.19,2.2,200
0,1.4,204
0,1,0
0,1.4,0
0,1.4,0|0
0.01,1,200
0,1,204
0,1,0
0.24;0.05,2.2,200
0,1.6,0|0
0,1.4,204
0,1,0
0,1.4,0|0
0,1.4,204
0,1.4,0
0,2.2,0
0,1.6,204|204
0,1.4,0
0,1,204
0,1.4,204
0.06,2.2,200
0,1.6,0|0
0,1.4,204
0,1.4,204
0,1.9,0
0.2,1.6,200|200
0,1.9,204
0,1.4,204
0,1.6,200|204
0.01,1.4,200
0,1.4,204|204
0,1.4,0|0
0,1.9,204
0,1.4,0
0.01,2.2,200
0.06,2.2,200
0,1.4,204
0,2.2,204
0.17,1.4,200
0,1.9,0
0,1.4,204
0,1,204
0,1.4,204
0,1.4,204
0,1,204
0.48;0.06,1,200
0,1.4,0
0,1.4,0
0.08,2.2,200
0.17,1.6,200|200
0,1.4,0
0,1.4,0
0,1.6,0|0
0.15;0.06;0.02,1.4,200
0,1.6,0|0
0,1.4,204
0,1.4,204
0,2.2,204
0.12,1.4,200
0,1.4,0
0,2.2,0
0.09;0.01,1.9,200
0.03,1.4,200
0,1.4,0
0.11,1.9,200
0,1.4,204
0,1,204
0,1,204
0.15,1,200
0.01;0.01,1,200
0.32;0.2;0.15,1.4,200
0,1.4,204|204
0,1.4,204
0,1.4,0
0,1,0
0.05,1,200
0,1.4,204|204
0.06,1.6,200|200
0,1,204
0,1.4,0|0
0.28;0.05,1.4,200
0.01,1,200
0,1.4,204|204
0,1.4,204|204
0,1.9,204
0,1.4,0
0,1.4,0
0,1.4,204|204
0,1.4,204
0,2.2,204
0,2.2,0
0,1,0
0,1.4,0
0,1.4,0
0,1.9,204
0,1.4,204
0,2.2,0
0,1.4,204
0.77,1.4,200
0,1,0
0,1.6,204|204
0,1.9,0
0.2;0.12,1.4,200
0,1.4,204
0,1.6,0|0
0,1.6,0|0
0,1.6,0|0
0.18,1.6,200|200
2.26;0.11,1.6,200
0,1.4,204
0,1.6,204|204
0,1.4,204
0,1.6,204|204
0,2.2,204
0.06,1.4,200
0.01,1.4,200
0,2.2,204
0,2.2,204
2.34;0.32;0.15;0.13,1.4,200
0,1.4,204
0.55,2.2,200
0.13;0.1,2.2,200
0,1.4,0
0.07,1.4,200|200
0,1.4,204
0.48;0.05,1.9,200
0,1.6,0|0
0.01,1.4,204|200
0,1.4,0
0,1,0
0.01,1.4,200
0,1.6,0|0
0,1.4,0
0,1.4,0|0
0.57;0.36;0.35;0.32;0.24,1.9,200
0.44;0.15;0.11;0.01,1.6,200|200
0.03;0.02,2.2,200
0,1.4,0
0.12,1.6,200|200
0.23;0.15;0.12;0.01,1.4,200
0,1.6,204|204
0,2.2,204
0,1.4,204
0,1,0
0,1.4,204
0,1.4,204
0,1.4,0
1.72;0.23;0.15;0.01,1.6,200
0.23;0.04,1,200
0,1.4,204|204
0,1.4,204
0,2.2,0
0,1.4,204
0,2.2,0
0,1.4,204|204
0,1,204
0.33,2.2,200
0,1.4,204
0,1.4,204
0,1.4,204
0,1.4,204
0,1.6,204|204
0,1.4,204
0,1.9,0
0,1.4,0
0,1.4,0|0
0,1.4,0|0
0,1,204
0,1.4,204
0,1.6,0|0
0.08,1.6,200|200
0,1.9,204
0.28,1,200
0.33;0.14,1.4,200
0,1.4,0
0,1,204
0,2.2,204
0.46,1,200
0,1.9,0
0,1.4,204
0,1.4,0
0,1.4,204
0,1,204
0,1,204
0.02,2.2,200
0,1.4,0
0,1.4,204
0.01,1.4,200|200
0,2.2,204
0,2.2,204
0,1.4,204|204
0,2.2,204
0,1.6,0|0
0.01,1.4,200
0,1.4,204
0,1.9,204
0.2;0.07;0.04,1.6,200|200
0,1.4,204
0,1,204
0,1.4,204
0,1.4,204|204
0,1.9,204
0,1.4,204
0,1.4,0|0
0,1.4,0
0.02,1.6,200|200
0,1,204
0.46,1,200
0,1.4,204
0.11;0.01,1.6,200|200
0,1.4,204
0,1.9,204
0.66,2.2,200
0,2.2,0
0,2.2,0
0,1.6,204|204
0,1.4,0|0
0,1,0
0,1,0
0,2.2,0
0,1.4,204
0,1.4,204
0,1.4,204
0,1,0
0,1.4,204
0,1.6,200|204
0,1.4,0
0,2.2,204
0,2.2,0
0,1.6,204|204
0.2,1.4,200
0.28;0.14,1.4,200
0.46,1.9,200
0,1.4,204
0,1.9,0
0,2.2,204
0,1.4,0|0
0,1,204
0,1.6,204|204
0,1.9,0
0,1.6,0|0
0,1.4,0
0,1.4,204
0.07,1.4,200
0,1.4,204
0,1.6,204|204
0,1.4,0
0.32;0.01,1,200
0,1.9,204
0,2.2,204
0,1,0
0.22,1,200
0,2.2,204
0,1.6,204|204
0,1.4,204|204
0,1.4,204
0,1.4,0
0,1.4,204
0.01,1,200
0,1,0
0.04,1.4,200
0,1,204
0,2.2,204
0,1.9,204
0,1.9,0
0,1.4,0
0,1.6,204|204
0.15;0.11,1.9,200
0.01,1.4,200
0,1.4,204
0.46,1.4,200
1.72;0.15;0.11,2.2,200
0.11;0.04,1.9,200
0,1.4,0
0,1.4,0
0.04;0.01,1.6,200|200
0,2.2,204
0,2.2,204
0.05;0.01,1.4,200|200
0,1.4,204
0,1.9,0
0,1.4,0
0.14,1.4,200
0,1.4,204
0.01,1.9,200
0,1.4,200|204
0,1.9,0
0,1.4,204
0,1.6,204|204
0,1.4,204|204
0.01,1.4,200
0,1.4,204|204
0.03,1.4,200
0,1.6,0|0
0,1.6,204|204
0,1.4,0
0,2.2,204
0.07,1,200
0,1,0
0,1.4,0
0,1,204
0.08,1.6,200|200
0,1,0
0.07,1.9,200
0,1.4,0|0
0.01;0.01,2.2,200
0.01,1.9,200
0,2.2,0
0.04,1.6,204|200
0,1,0
0,1.9,204
0,1.4,0
0,1,204
0,1.6,0|0
0,1.4,0
0,1.4,0
0.46,1.4,200
0.11;0.04,1,200
0.01,1.4,200|200
0.07,1.4,200
0,1.4,204|204
0,1.4,204
0,2.2,204
0,1.6,200|204
0,1.4,0
0,1,204
0,1,0
0,1,204
0.36,1.4,200|200
0,1.9,204
0,1.9,204
0,1,204
0,1.4,204
0.12,1,200
0,1.4,0
0,1.4,0
0,1,204
0,1,204
0,1.4,204
0,1.4,0
0,1.4,204
0,1.4,204|204
0,1.4,204|204
0,2.2,204
0,1.4,204
0.46,2.2,200
0,1.4,204
0.15;0.11,1.4,200|200
0,1.4,0|0
0.08,1.9,200
0,1.4,204
0,1.4,204
0,1,0
0,1.4,204
0,1.6,204|204
0,1.4,204|204
0,1.4,204
0,1.6,204|204
0.01,1.4,200
0,2.2,204
0.46,1.9,200
0.1,1,200
0,1.9,204
0,1.4,204|204
0,1.4,204|204
0,1,204
0.07,2.2,200
0.07,2.2,200
0.16,1.4,200
0,2.2,204
0,1.4,204|204
0,1.4,204
0,1.6,204|204
0,1.4,204
0.01,1,200
0,1.9,204
0,2.2,0
0.07,2.2,200
0,1.4,0
0,1.4,0
0,1.9,204
0,1.6,0|0
0.4,1.4,200
0,1.4,204|204
0.07,2.2,200
0,1,0
0,1.6,204|204
0,1.4,204
0.07,1.4,200
0,1.4,204
0.07,1.6,200|200
0,1.9,204
0,1.4,204
0,1,0
0,1.4,204
0,1,0
0,2.2,0
0,1.4,204
0.06,1.4,200
0,1.6,204|204
0.46,1,200
0,1.4,204
0,1.4,0
0,2.2,204
0,1.4,204
0,1.4,204
0,2.2,204
0,1.4,204
0,1.4,204
0,1.9,0
0,2.2,0
0,1.4,204
0,1.4,0|0
0,1.4,204
0,1.4,204
0,1.4,0
0,1.4,0|0
0,1.4,0
0,1.4,204
0.14,2.2,200
0,1,204
0,1.6,200|204
0.46,2.2,200
0,1.4,204
0,1.4,204|204
0,1.6,0|0
0,1.4,204
0,1,204
0,2.2,0
0,1.6,204|204
0,1.6,204|204
0.2,1.9,200
0,1.4,0
0,1,204
0.18,2.2,200
0,1.4,0|0
0.23;0.01,1.4,200
0,1.4,0|0
0,1.4,204|204
0,2.2,0
0.01,1,200
0,2.2,204
0,1.4,204|204
0,1.4,0|0
0,1.4,0
0.36,1.9,200
0,1,204
0,1.4,204
0,1,204
0,1.4,204
0,1,204
0,1.6,204|204
0,1.4,204
0,1.4,204
0,1.4,204
0,1.4,0
0,1.6,0|0
0.03,1.4,200
0,1.9,204
0,2.2,204
0,1.4,204
0,1.9,0
0,1.6,204|204
0,1.9,204
0,2.2,204
0,1.6,204|204
0,1.4,200|204
0,1,0
0.15;0.12;0.01,1.6,200|200
0.6,1.4,200
0,1.6,204|204
0.01,2.2,200
0,1.4,204
0.2,1.9,200
0.83;0.32,2.2,200
0,1.4,0|0
0.32,1.4,200|200
0,1.4,0
0,1.4,204
0,1.4,204
0,1.4,204
0.01,1.4,200
0,1.9,0
0,1.4,204
0,1.4,204
0.61;0.14;0.1,1.9,200
0,1,0
0,1.9,204
0,1.4,204
0.95;0.66,1.4,200
0,1.4,204
0,1.4,0
0,1.4,0
0,1.9,204
0,2.2,204
0.46,1.4,200
0,1,204
0,1,204
0.15;0.11,1.4,200
0,1.4,204
0,1.4,204
0,2.2,0
0,1.4,0
0,1.4,204
0.01,2.2,200
0,1.6,204|204
0,2.2,0
0,2.2,204
0.48,1.4,200
0,1,0
0,1.4,204
0,1.4,0
0,1.9,204
0.07,1,200
0,1.6,204|204
0,1.4,200|204
0.11,1.4,200
0,1.4,0
0,1.9,0
0,1,0
0,1.4,204|204
0,1.4,204
0,1,204
0,2.2,204
0,1.9,204
8.83,1.6,200
0.07,1.4,200|200
0,1.6,0|0
0,1.4,204
0,1.6,204|204
0,1.6,0|0
0,1.4,204
0,1.4,204
0,1,204
0,1.4,204
0,2.2,204
0,1.4,204|204
0,1.9,204
0,1.4,204
0,1.4,0
0,2.2,204
0.15;0.07;0.01,1,200
0.06;0.01,1,200
0,1.4,204|204
0,1.4,0|0
0,1.4,0
0,1.6,0|0
0,1.4,204|204
0,1.4,204
0.11,1,200
0.15,2.2,200
0,1.4,0
0,1.6,204|204
0.06,1.9,200
0,1.4,0
0,1.6,0|0
0,1.4,204
0,1.9,204
0,1.4,204|204
0.82,1.9,200
0,2.2,204
0,1.4,204
0,1.4,0
0,1.4,0
0,1.4,204
0,1.4,204
0.01,1.4,200
0,1.9,204
0,1.4,204
0,2.2,0
0,1,204
0,1.4,0|0
0,1.9,204
0,2.2,204
0,1.9,0
0,1.4,204
0,1.4,0
0,1,0
0,2.2,0
0,1.6,0|0
0,1.9,0
0,1.4,0
0,1.6,200|204
0,1.6,0|0
0,1.4,0
0,1,0
0,1.9,0
0,1.9,0
0,1,0
1.72;0.23;0.15;0.04;0.01,1.4,200
0,1,204
0,1.4,200|204
0,1,204
0,2.2,204
0,1.4,204
3.12;0.75,1,200
0.16,2.2,200
0,1.4,204
0,1,204
0,1.6,204|204
0.01,2.2,200
0,1.4,0
0,1.4,200|204
0,1.4,204
0,1.4,204
0,1.4,204
0,1.9,0
0.08,1.6,200|200
0,1.9,204
0,1.9,204
0,1.4,204|204
0,1,0
0,1.4,204
0.11;0.04,2.2,200
0,1.4,204
0.03;0.02,1.4,200|200
0,2.2,0
0,1.4,204
0,1.6,0|0
0,1.4,204
0,1,0
0,1.4,204|204
0,1.4,0
0.15;0.01,1.4,200|200
0.09,1.6,200|200
0,2.2,0
0,1.4,0
0,1.4,204
0,1.4,0|0
0,1.9,0
0,2.2,204
0,1.9,0
0,1.9,204
0,1.4,0
0.04;0.01,1.4,200|200
0,1.9,204
0,1.4,204
0,2.2,204
0,1.6,0|0
0,1.6,204|204
0.01;0.01,1.4,200
0,1.4,204
0,2.2,204
0,1.4,204
0,2.2,204
0,1.9,0
2.64;0.88;0.28,1.6,200|200
0.16;0.15,1,200
0,1.4,0
0,1.4,0
0,1.4,204
0,2.2,204
0.15;0.07;0.01,1.6,200|200
0.03;0.02,2.2,200
0,1.6,204|204
0,1.4,0
0,1.4,0|0
0,1.4,204
0.24,1.6,200|200
0,1.4,204
0.16,1.9,200
0,2.2,204
0,1.4,0
0,1.6,204|204
0,1.4,204
0,1.4,204
1.12,2.2,200
0,1.4,0|0
2.75;0.24,1.4,200
0,1.9,204
0,1.4,204
0.12;0.08,1.4,200
0,1.6,204|204
0,2.2,0
0.11,1.4,200
0.01,1.4,200
0,1.9,0
0.32;0.16;0.15,2.2,200
0,2.2,204
0,1.4,0|0
0,1.4,204
0,1,0
0.11,1.4,200|200
0,1.4,204|204
0.15;0.07;0.01,1,200
0.32;0.15;0.13,1.4,200
0,1.6,204|204
0,1.4,204
0,1.4,204
0,1.4,204
0,1.4,0|0
0,1.6,204|204
0.05,1.4,200
0,1.6,204|204
0,2.2,204
0.49;0.14,1.9,200
0.31,1.9,200
0,1.6,204|204
0,2.2,204
0.04,2.2,200
0,1.4,0|0
0,2.2,0
0,1.4,0
0,1.4,204|204
0.16,1,200
0,1.4,204
0,1.6,204|204
0,1.4,204
0.11,1.9,200
0,2.2,0
0,2.2,0
0,1.4,200|204
0,1.6,0|0
0,2.2,0
0.01,1,200
0,1.4,0
0,1,204
0.01,1.4,200
0.32,1.9,200
0.03;0.01,1.4,200
0.14,1.4,200
0,1.4,204
0.2,1.9,200
0,1.4,0
0,1.4,0
0,2.2,0
0.12,1.4,200
0.07,1.4,200
0,1.4,0
0,1.4,0
0,1.9,204
0,1.9,0
0,1.9,204
0.8,2.2,200
0,1.4,0
0.36,1,200
0,1.4,0|0
0,1.6,0|0
0,1.4,0
0,1.4,204|204
0.8,1.4,200
0.8,1.4,200
0,1,204
0,1.4,0
0.46,1.4,200
0,1.4,0
0,2.2,0
0,1.4,204
0.12,1.4,200
0,1.4,204
0.08,1.9,200
0,1.4,0
0,1.4,204
0.4,1.9,200
0.8,1.4,200|200
0.12,1,200
0,1.4,0|0
0,1,0
0,1.4,0
0,1.4,0
0,1.6,204|204
0.11,1.4,200|200
0,1.4,204
0,1.4,204
0,1.9,204
0,1,204
0,1.4,0
0,1.4,0
0.2;0.06,1.4,200
0,1.6,200|204
0.07,1.4,200
0,1.9,204
0,2.2,204
0.12,1.4,200
0,1.4,0
0,1.6,204|204
0.28,1.6,200|200
0,1.4,204
0.01,1.4,200
0.8,1.4,200
0.12,2.2,200
0.32;0.15;0.13;0.12,1.4,200|200
0.07,1.4,200
0,1.4,204
0,2.2,204
0,1.4,204
0,1.4,204
0,1.4,0
0.03,1,200
0.12,1.6,200|200
0,1,204
0,1.4,0|0
0,1.4,0|0
0,1.4,0|0
0,1.4,204
0,1.4,204
0,1.4,204
0,2.2,0
0,1.6,204|204
0,1.6,204|204
0,1.9,0
0,1.6,0|0
0.8,1.4,200
0.12,1,200
0.8,1.6,200|200
0,1.4,204
0,1.6,204|204
0,1,204
0.04,1.9,200
0,1.4,204
0,1,204
0,2.2,204
0,1.4,204
0,1.4,0
0,1.4,204
0.12,1.4,200
0.12,1.4,200
0.8,1.4,200
0,1.4,204
0.8,1.4,200
0,1.4,204|204
0.05,1.4,200
0.11;0.04,1,200
0,1.4,0
0.01,1,200
0,2.2,204
0.01,1.4,200|200
0,1.4,204
0,1,204
0,1.4,0
0,2.2,0
0,1,0
0,1.4,204|204
0,1.6,204|204
0.01,1.4,200
0.12,2.2,200
0.8,1,200
0,1,204
0,1.9,204
0,1.9,204
0,1.4,204
0,1.4,204
0,1.4,0
0,1.9,0
0,2.2,204
0,1.9,0
0.07,1.4,200
0,1.4,204
0,1.9,0
0,1.4,0
0,1.4,204
0,2.2,204
0,2.2,204
0,2.2,204
0,1.4,0
0.04,1.9,200
0.14,1.9,200
0,1.4,0
0,1.6,200|204
0,1.4,204
0,2.2,204
0.1,1,200
0.01,1.6,200|200
0,1.4,204
0,1.6,0|0
0,1.9,204
0.05;0.01,1.4,200
0,1.6,0|0
0,1.9,204
0.15,1.4,200
0,1.4,0
0,1.4,0
0.12,1.4,200|200
0.12,1.4,200
0,1.4,0|0
0.2;0.08,1.6,200|200
0,1.6,204|204
0,1.9,204
0,1.4,0|0
0,1,204
0.09,1.4,200
0,1.6,204|204
0.8,1.4,200
0.12,1,200
0,1.6,204|204
0,1.4,204
0,1,204
0,1.4,204
0,1.6,0|0
0,1.4,204|204
0,1.4,0
0,1,204
0.11,1,200
0.01;0.01,1.6,200|200
0.02,1.6,200|200
0,1.9,0
0,1.4,204
0,1.9,204
0,1.4,204|204
0.01,2.2,200
0,1,0
0,2.2,204
0.12,1.9,200
0,1.4,204
0,2.2,0
0,1.9,0
0,1.4,204|204
0,1.4,0
0,1.4,204
0,1.4,0
0,1.9,204
0.07,1.4,200
0,1,204
0,1.4,204
0,1.4,0|0
0,1.4,0
0,1.6,204|204
0,1.4,0
0,1.4,204
0,1.4,204
0,1.4,204
0,1,0
0.03,1.4,200
0.04,1,200
0,1.4,0
0,1.4,0|0
0,1.9,204
0,1.6,0|0
0,1,204
0,1.4,0
0,1,0
0,1.4,0
0,1.6,200|204
0,1,0
0.22,1.4,200
0.01,1.6,200|200
0,1.4,204
0.01,1.4,200
0,2.2,0
0,1.6,0|0
0,1.4,0|0
0,1,0
2.92;0.08,1.4,200
0,1.6,204|204
0,2.2,204
0.26,1.4,200
0,1.4,0
0,1.9,204
0,1.4,204
0,2.2,204
0,1.4,204
0,1.4,0
0,1,204
0,1.4,204
0,1.4,204|204
0,1.6,204|204
0,1,204
0,1.4,204
0.01,1.4,200
2.64;1.06;0.54,2.2,200
0.8,1.4,200
0.12,1.9,200
0,1.4,204
0,1.4,204
0,1,204
0.05,1.4,200
0,1.4,204
0.19,1.4,200
0,1,0
0,1.4,0
0,1.4,204
0,1.6,204|204
0,1.4,204
0,1.6,204|204
0,1,0
0,1.6,0|0
0,1.4,204
0,1.4,204
0,2.2,204
0,1.6,0|0
0,1,0
0,2.2,204
0,1.4,204
0.23;0.04,1.4,200
0,1.6,204|204
0,1.4,204
0,1,0
0,1,0
0.01,1.9,200
0,2.2,0
0,1.9,204
0.12,1,200
0,1,204
0,1.9,204
0,2.2,0
0,1.4,0
0,1.4,0|0
0,1.4,0|0
0,1.4,204
0,1.4,204
0.07,1,200
0,1.6,0|0
0,1.9,204
0,1.6,204|204
0,1.9,204
0,1.4,204
0,1.4,204
0,1.4,204
0,1.6,0|0
0,1.6,204|204
0,1.6,204|204
0,2.2,204
0.14,1,200
0,1.4,204
0.04,1.4,200
0,2.2,204
0,1.4,204
0,2.2,204
0,1.4,204|204
0,1,0
0,1.4,200|204
0,1,204
0,1.9,204
0,1.6,204|204
0,1.9,0
0.12,1.6,200|200
0,1.6,0|0
0,1.4,0|0
0.01,1.4,200
0,2.2,204
0,1.9,204
0,2.2,0
0,2.2,0
0,1,204
0,1.9,204
0,1.4,0
0,1.4,0
0,2.2,204
0,1.4,204
0,1.4,204
0,1.6,0|0
0,1.4,0|0
0.08,1.4,200
0,1.4,0|0
0,2.2,0
0,1.4,204|204
0,1.4,204
0.2;0.05;0.02,1.6,200|200
0,1.9,0
0,1.4,0
0,1.4,0
0.01,1.4,200
0.04;0.01,1.4,200
0.03,1.9,200
0,1.4,204
0.03,1.9,200
0,1.4,0
0,1.9,204
0.16,1.4,200
0,1.4,204
0,1.9,204
0,1.4,0|0
0,1,204
0.24;0.16;0.15;0.01,1.4,200
0,1.9,204
0,1.4,204
0,2.2,0
0,1.9,204
0,1.4,200|204
0,1.4,204
0.01,1,200
0,1.6,0|0
0,1.6,204|204
0,1.4,0|0
0.19,1.9,200
0,1.4,204
0,1.4,0
0,1.4,0
0,1.4,204
0,1,204
0,1.6,204|204
0,1.9,0
0,2.2,204
0,1.6,200|204
0,1.4,204
0,1,204
0,1.6,204|204
0,1.4,204
0.16;0.01,1.9,200
0,1.4,204|204
0,1.4,204
0,2.2,0
0.4;0.15;0.02,1.4,200
0,1,204
0,1.4,204
0.02,1.4,200
0,1.4,204|204
0,2.2,204
0,1.4,0
0.04,1,200
0,1.4,204
0.05;0.01,1,200
0,2.2,0
0,1.9,0
0,1.4,0
0.03;0.01,1,200
0,1.9,204
0.01;0.01,1.4,200|200
0.11,1.9,200
0,1.9,204
0,1.4,204
0,1.4,204
0,2.2,204
0,1.4,0
0,1.6,0|0
0,2.2,0
0.01,1,200
0,1.4,204
0,2.2,204
0,1.4,204
0.12,1.4,200
0,1.6,0|0
0,1.4,0
0.31,1.4,200
0,1.4,0|0
0,2.2,0
0,1.4,204|204
0,2.2,0
0,1.4,204
0.08,1,200
0,1.4,204|204
0.08,1.4,200
0.96;0.14,1.9,200
0,1.4,0
0,1.6,0|0
0,1.4,204
0.04,2.2,200
0,1.4,204
0,2.2,204
0,1.9,0
0,1.4,204
0,1.9,204
0.01;0.01,2.2,200
0,1.6,204|204
0,1.4,204
0,1.4,0
0,1.4,0
0,2.2,204
0,1.4,0
0,1.4,204
0,1.6,204|204
0,1,204
0,1.4,204
0,1.6,200|204
0,1.4,204
0,1.4,204|204
0,1.6,200|204
0.52,1.4,204|200
0,2.2,204
0,1.9,204
0,1.4,204
0.01,1.4,200
0.03,1.4,200
0,1.4,204|204
0.08,1.4,200
0,1.4,204
0,1.4,0|0
0,1.4,204|204
0,1.4,204|204
0,2.2,0
0.04,1,200
0,1.9,204
0,1.6,0|0
0,1,204
0,1.6,204|204
0,1.4,0
0,1.4,204
0,1.9,204
0,1.4,0
0,1.4,204
0,1.4,204
0,2.2,0
0.03,1.4,200
0,1,0
0,1.4,0
0,1.4,0|0
0.1,1.4,204|200
0,1.4,204|204
0.11,1.4,200|200
0,1.6,204|204
0,2.2,0
0.03;0.02;0.02,1.4,200
2.88;0.02,1.6,200|200
0,1.4,204
0.28;0.24;0.02,1.4,200|200
0.09;0.06,1.4,200
0,1.4,0|0
0.85;0.24;0.21;0.15;0.04,1.4,200
0.02,2.2,200
0,1.6,0|0
0,1.9,204
0,1.4,0
0.09;0.05,1.6,200|200
0,1,204
0,1.4,0
0.8,1.4,200
0,2.2,204
0,2.2,204
0,1.4,0
0.07,1.4,200
0,1.9,204
0,1.4,0
0,1.4,204
0.01,1.4,200
0,1.4,204
0,1.6,204|204
0,2.2,204
0.04,1.4,200
0,2.2,0
0.15;0.01,1.4,200
0,1.4,0|0
0,1,0
0,1.4,0|0
0,1,0
0,1.6,204|204
0,1.4,0
0,1.4,0
0,1.4,204
0.01,1,200
0,1.4,0
0,2.2,204
0,1,0
0,1.4,204
0,2.2,0
0,1.9,204
0.16;0.11;0.06,2.2,200
0,1.4,0
0.16;0.09,1.4,200
0,1.6,0|0
0,1,0
0,1.9,204
0.08,1.4,200|200
0,1,0
0,1.4,0
0,1.9,204
0,1.4,0|0
0.05;0.01,1.6,200|200
0,1.4,204
0,1,0
0,2.2,204
0,1.4,0
0,1.4,204|204
0,1.4,204|204
0,1.4,0
0,1.6,204|204
0,1.4,0
0,1.4,0
0,1.4,204
0,1.9,0
0,1.4,204
0.22,1.4,200|200
0,1.4,0
0.88;0.39;0.01,1,200
0,1.4,204
0.39;0.24;0.06;0.02,1.9,200
0.11;0.05,1.4,200
0,1,204
0,1,0
0,1,0
0.48;0.33,2.2,200
0,1.9,204
0,1.9,0
0,1.4,0
0.03,1,200
0,1.4,0
0,1.4,0
0,2.2,204
0,1.6,204|204
0,1.4,0
0,1.4,204
0,1.4,0
0,1,204
0.62;0.11,1.4,200
0,2.2,0
0.07,1.4,200
0,1,204
0,2.2,0
0,1.4,204
0,1.4,204
0,1.6,204|204
0,1.4,0
0,1.4,204
0,1.4,0|0
0,1.6,200|204
0,1.4,204
0,1.4,0
0,1.9,204
0,1.6,0|0
0,1.4,204|204
1.08;0.54;0.09,1.9,200
0,1.4,0
0,1.6,204|204
0,1.4,0
0,1.4,204|204
0,1,204
0,1,204
0.4,1.4,200
0,1.6,0|0
0.09;0.01,1.4,200
0,2.2,0
0,1,0
0,2.2,204
0,1.4,204|204
0,1.6,204|204
0,1.4,204
0,2.2,0
0,1.9,204
0,1,204
0,1,204
0,1.4,204
0,1.6,204|204
0.04,1.6,200|200
0,1.4,0
0,1.4,204
0,1.4,0
0,2.2,0
0,1,0
0.16;0.11;0.04,1.4,200
0.08,1.9,200
0,1.4,0
0.2,1.4,200
0,1.4,0
0.03,2.2,200
0,1.6,204|204
0,2.2,204
0,1.4,204
0,1.4,0
0,1,0
0,1.4,204
0,1.4,204
0,1.4,204
0,1.4,0|0
0,1.9,0
0.28;0.12;0.07,1.4,200
0.14;0.1,2.2,200
0.03,1.4,200
0,2.2,204
0,1,204
0,1.4,0|0
0,1.6,204|204
0,1.6,204|204
0,1.4,204
0.02,1.9,200
0,1.9,0
0,2.2,204
0,2.2,204
0,2.2,0
0.03,1.4,200
0,1.4,204
0,1.6,204|204
0,1.4,204
0,2.2,0
0,1.9,0
0,1.4,204
0.04;0.01,1.4,200
0,2.2,204
0,1.4,0
0.02,1.4,200
0,1.9,204
0.01,1,200
0,1,0
0.01,1.4,200
0,2.2,0
0,1.6,0|0
0,1,204
0,1.4,0|0
0,2.2,204
0,1.4,0
0,1.4,204
0,1.4,200|204
0,1,204
0,1.6,204|204
0,1.4,204
0,1.9,0
1;0.8;0.1,1.4,200
0.16,1.4,200
0,1.9,0
0.11,1.9,200
0.01,1.4,200
0,1,204
0,1.4,0
0,1,0
0.16,1.4,200|200
